Vehicle Name,Location X,Location Y,Location Z,Rotation Pitch,Rotation Yaw,Rotation Roll,Timestamp
"BMW_Series7_Pawn_C_2147460246",2022.25,10516.00,-398.15,-0.04,-88.59,-0.01,"2025-01-27 12:13:53"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.98,-398.14,-0.03,-88.59,-0.01,"2025-01-27 12:13:53"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.97,-398.14,-0.02,-88.59,-0.01,"2025-01-27 12:13:53"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.99,-398.15,-0.04,-88.59,-0.01,"2025-01-27 12:13:53"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.98,-398.14,-0.03,-88.59,-0.01,"2025-01-27 12:13:53"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.97,-398.14,-0.02,-88.59,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.99,-398.14,-0.03,-88.59,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.98,-398.14,-0.02,-88.59,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.98,-398.14,-0.03,-88.59,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.97,-398.14,-0.02,-88.59,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.99,-398.14,-0.03,-88.59,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.24,10515.94,-398.14,-0.01,-88.59,-0.00,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.25,10515.84,-398.14,-0.02,-88.59,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.29,10515.19,-398.16,-0.06,-88.60,-0.04,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.27,10514.46,-398.15,-0.01,-88.60,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.30,10513.36,-398.14,0.01,-88.60,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.34,10511.99,-398.14,0.02,-88.60,-0.01,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.39,10510.27,-398.16,0.01,-88.60,-0.03,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.47,10508.03,-398.19,-0.01,-88.60,-0.05,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.51,10505.10,-398.23,-0.02,-88.60,-0.04,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.58,10501.43,-398.26,0.00,-88.60,-0.03,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.69,10497.18,-398.30,-0.00,-88.60,-0.05,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.82,10492.50,-398.35,-0.03,-88.60,-0.08,"2025-01-27 12:13:54"
"BMW_Series7_Pawn_C_2147460246",2022.91,10487.21,-398.39,-0.03,-88.60,-0.06,"2025-01-27 12:13:54"
