Vehicle Name,Location X,Location Y,Location Z,Rotation Pitch,Rotation Yaw,Rotation Roll,Timestamp
"BMW_Series7_Pawn_C_2147460246",2023.17,10564.41,-397.71,-0.03,-91.41,-0.01,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.16,10564.38,-397.70,-0.01,-91.41,-0.00,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.17,10564.39,-397.70,-0.01,-91.41,-0.00,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.17,10564.40,-397.71,-0.03,-91.41,-0.01,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.17,10564.40,-397.70,-0.02,-91.41,-0.01,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.18,10564.44,-397.71,-0.05,-91.41,-0.01,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.17,10564.41,-397.70,-0.03,-91.41,-0.01,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.17,10564.40,-397.70,-0.02,-91.41,-0.01,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.18,10564.41,-397.70,-0.03,-91.41,-0.01,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.18,10564.42,-397.70,-0.04,-91.41,-0.01,"2025-01-27 12:30:00"
"BMW_Series7_Pawn_C_2147460246",2023.20,10564.47,-397.64,-0.05,-91.41,-0.02,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.19,10564.43,-397.64,-0.04,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.18,10564.34,-397.64,-0.03,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.19,10564.02,-397.67,-0.05,-91.41,-0.02,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.18,10563.32,-397.70,-0.08,-91.41,-0.04,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.17,10562.12,-397.74,-0.12,-91.41,-0.06,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.14,10560.42,-397.78,-0.16,-91.42,-0.08,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.09,10557.95,-397.83,-0.19,-91.42,-0.10,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.03,10555.12,-397.86,-0.22,-91.42,-0.12,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2023.00,10553.83,-397.88,-0.23,-91.42,-0.12,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2022.79,10547.97,-397.80,-0.06,-91.42,-0.05,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2022.70,10543.96,-397.85,-0.05,-91.42,-0.05,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2022.56,10539.36,-397.89,-0.04,-91.41,-0.04,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2022.41,10533.51,-397.93,-0.03,-91.41,-0.03,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2022.26,10527.56,-397.98,-0.03,-91.41,-0.02,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2022.10,10521.08,-398.03,-0.02,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2021.94,10514.00,-398.09,-0.02,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2021.76,10506.77,-398.16,-0.02,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2021.59,10499.06,-398.24,-0.04,-91.41,-0.02,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2021.37,10490.68,-398.31,-0.02,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2021.15,10481.46,-398.38,-0.02,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2020.92,10471.45,-398.47,-0.05,-91.41,-0.03,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2020.66,10461.44,-398.54,-0.02,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2020.42,10450.92,-398.64,-0.02,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2020.16,10439.60,-398.75,-0.03,-91.41,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2019.87,10424.85,-398.88,-0.01,-91.39,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2019.70,10413.27,-398.97,-0.01,-91.38,-0.01,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2019.49,10400.46,-399.08,-0.01,-91.39,0.00,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2019.32,10391.45,-399.15,-0.01,-91.39,0.00,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2018.93,10372.25,-399.29,-0.01,-91.41,0.00,"2025-01-27 12:30:01"
"BMW_Series7_Pawn_C_2147460246",2018.63,10358.42,-399.40,-0.01,-91.41,-0.00,"2025-01-27 12:30:02"
"BMW_Series7_Pawn_C_2147460246",2018.32,10343.65,-399.53,-0.01,-91.41,0.00,"2025-01-27 12:30:02"
"BMW_Series7_Pawn_C_2147460246",2017.99,10328.55,-399.68,-0.01,-91.41,-0.00,"2025-01-27 12:30:02"
"BMW_Series7_Pawn_C_2147460246",2017.62,10312.42,-399.86,-0.02,-91.41,-0.01,"2025-01-27 12:30:02"
"BMW_Series7_Pawn_C_2147460246",2017.22,10295.14,-400.03,-0.02,-91.41,-0.00,"2025-01-27 12:30:02"
"BMW_Series7_Pawn_C_2147460246",2016.82,10278.03,-400.21,-0.02,-91.41,-0.00,"2025-01-27 12:30:02"
"BMW_Series7_Pawn_C_2147460246",2016.44,10260.75,-400.40,-0.01,-91.41,-0.00,"2025-01-27 12:30:02"
