Vehicle Name,Location X,Location Y,Location Z,Rotation Pitch,Rotation Yaw,Rotation Roll,Timestamp
"BMW_Series7_Pawn_C_2147460246",2026.36,10573.55,-397.63,-0.02,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.36,10573.55,-397.63,-0.02,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.37,10573.58,-397.64,-0.05,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.36,10573.55,-397.63,-0.02,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.36,10573.54,-397.63,-0.02,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.37,10573.54,-397.64,-0.03,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.36,10573.53,-397.63,-0.02,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.36,10573.51,-397.63,-0.01,-91.41,-0.00,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.36,10573.52,-397.64,-0.03,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.36,10573.52,-397.63,-0.02,-91.41,-0.00,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.37,10573.52,-397.63,-0.01,-91.41,-0.00,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.38,10573.55,-397.64,-0.04,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.38,10573.51,-397.64,-0.05,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.37,10573.33,-397.63,-0.02,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.37,10573.06,-397.63,-0.02,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.36,10572.41,-397.64,-0.01,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.35,10571.48,-397.64,-0.01,-91.41,-0.02,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.30,10570.13,-397.64,0.01,-91.41,-0.01,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.27,10568.67,-397.64,0.02,-91.41,-0.02,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.23,10566.55,-397.67,0.00,-91.41,-0.03,"2025-01-27 12:24:18"
"BMW_Series7_Pawn_C_2147460246",2026.18,10563.65,-397.71,-0.04,-91.41,-0.06,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2026.06,10560.18,-397.74,-0.02,-91.41,-0.05,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2025.96,10555.76,-397.78,-0.02,-91.42,-0.06,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2025.86,10551.07,-397.83,-0.05,-91.42,-0.07,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2025.69,10545.82,-397.87,-0.04,-91.41,-0.05,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2025.53,10540.20,-397.90,-0.04,-91.41,-0.04,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2025.36,10534.05,-397.94,-0.03,-91.41,-0.03,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2025.18,10527.16,-397.99,-0.03,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2025.00,10519.89,-398.06,-0.03,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2024.80,10512.40,-398.13,-0.01,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2024.60,10504.23,-398.20,-0.02,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2024.40,10495.51,-398.28,-0.04,-91.41,-0.03,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2024.18,10485.88,-398.38,-0.08,-91.41,-0.05,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2023.88,10475.95,-398.43,-0.02,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2023.62,10465.73,-398.51,-0.01,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2023.31,10453.44,-398.62,-0.01,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2022.99,10440.90,-398.73,-0.01,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2022.69,10428.61,-398.84,-0.01,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2022.39,10416.50,-398.95,-0.01,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2022.08,10403.46,-399.09,-0.03,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2021.75,10389.49,-399.25,-0.06,-91.41,-0.04,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2021.41,10375.24,-399.41,-0.10,-91.41,-0.07,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2020.99,10361.11,-399.52,-0.02,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2020.60,10346.05,-399.65,-0.02,-91.41,-0.01,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2020.18,10329.23,-399.79,-0.02,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2019.76,10312.64,-399.93,-0.04,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2019.32,10295.24,-400.08,-0.05,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2018.91,10278.99,-400.22,-0.09,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2018.49,10262.61,-400.36,-0.11,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2018.06,10245.57,-400.51,-0.15,-91.41,-0.02,"2025-01-27 12:24:19"
"BMW_Series7_Pawn_C_2147460246",2017.64,10229.41,-400.64,-0.11,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2017.25,10213.52,-400.79,-0.19,-91.41,-0.03,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2016.80,10196.69,-400.91,-0.07,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2016.36,10179.73,-401.04,-0.05,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2015.94,10163.04,-401.17,-0.03,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2015.53,10146.10,-401.33,-0.05,-91.41,-0.03,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2015.05,10128.47,-401.49,0.02,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2014.59,10110.74,-401.64,0.04,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2014.11,10092.86,-401.81,0.05,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2013.49,10068.92,-402.05,0.06,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2012.99,10049.62,-402.24,0.07,-91.41,-0.02,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2012.45,10029.11,-402.44,0.05,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2011.91,10008.48,-402.63,0.03,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2011.34,9986.01,-402.82,0.03,-91.41,-0.02,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2010.75,9964.01,-403.01,0.02,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2010.08,9939.02,-403.23,-0.00,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2009.29,9908.26,-403.50,-0.06,-91.41,-0.02,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2008.66,9884.34,-403.70,-0.07,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2008.00,9859.91,-403.91,-0.08,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2007.35,9834.63,-404.14,-0.13,-91.40,-0.02,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2006.73,9811.10,-404.34,-0.12,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2006.11,9788.18,-404.52,-0.07,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2005.47,9764.42,-404.72,-0.06,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2004.79,9738.53,-404.93,-0.04,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2004.09,9712.28,-405.16,0.01,-91.41,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2003.35,9685.20,-405.40,0.04,-91.40,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2002.70,9659.66,-405.64,0.07,-91.40,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2002.06,9633.09,-405.89,0.07,-91.38,-0.02,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2001.45,9606.13,-406.14,0.07,-91.37,-0.02,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2000.78,9576.49,-406.43,0.07,-91.37,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",2000.05,9544.59,-406.74,0.05,-91.39,-0.01,"2025-01-27 12:24:20"
"BMW_Series7_Pawn_C_2147460246",1999.32,9513.99,-407.03,0.05,-91.40,-0.00,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1998.48,9480.35,-407.35,0.02,-91.41,0.02,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1997.66,9446.58,-407.66,-0.00,-91.41,0.02,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1996.91,9415.20,-407.95,-0.05,-91.41,0.00,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1995.86,9372.66,-408.32,-0.12,-91.41,-0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1995.02,9338.80,-408.60,-0.11,-91.41,-0.00,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1994.17,9304.90,-408.87,-0.10,-91.41,-0.00,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1993.36,9272.42,-409.16,-0.09,-91.40,-0.00,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1992.63,9240.68,-409.45,-0.09,-91.39,-0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1991.91,9206.37,-409.74,-0.04,-91.36,-0.02,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1991.48,9172.04,-410.06,0.00,-91.24,-0.07,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1990.91,9136.90,-410.38,0.04,-91.27,-0.04,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1990.33,9102.46,-410.70,0.05,-91.31,-0.02,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1989.42,9054.18,-411.15,0.07,-91.39,0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1988.72,9017.98,-411.50,0.06,-91.40,0.02,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1987.92,8981.02,-411.84,0.06,-91.41,0.05,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1987.24,8943.38,-412.20,0.02,-91.41,0.03,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1986.52,8903.91,-412.58,-0.03,-91.41,0.03,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1985.84,8865.88,-412.94,-0.06,-91.40,0.03,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1985.29,8829.60,-413.26,-0.08,-91.37,0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1984.62,8778.19,-413.70,-0.09,-91.33,-0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1984.12,8741.35,-414.03,-0.13,-91.32,-0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1983.57,8702.79,-414.38,-0.08,-91.38,0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1983.06,8667.02,-414.72,-0.07,-91.40,0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1982.53,8630.83,-415.07,-0.06,-91.41,0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1982.01,8595.23,-415.41,-0.03,-91.41,0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1981.36,8548.72,-415.85,-0.02,-91.40,0.01,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1980.83,8513.02,-416.21,-0.05,-91.37,0.02,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1980.77,8477.13,-416.55,-0.02,-90.43,-0.00,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1980.77,8442.64,-416.88,0.00,-90.03,-0.02,"2025-01-27 12:24:21"
"BMW_Series7_Pawn_C_2147460246",1980.82,8406.73,-417.19,0.01,-89.92,-0.03,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.81,8362.84,-417.59,0.01,-89.96,-0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.74,8328.85,-417.90,0.01,-89.98,-0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.65,8295.17,-418.21,0.01,-89.99,0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.56,8260.39,-418.52,0.02,-90.00,0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.47,8226.30,-418.83,0.02,-90.00,0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.37,8181.09,-419.24,0.02,-90.00,-0.00,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.28,8143.54,-419.56,0.05,-90.00,-0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.17,8107.40,-419.89,0.05,-90.00,-0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1980.04,8070.42,-420.23,0.05,-90.00,-0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1979.90,8032.42,-420.58,0.05,-90.00,-0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1979.77,7991.95,-420.95,0.07,-90.00,-0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1979.63,7951.32,-421.34,0.06,-90.00,-0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1979.42,7907.79,-421.74,0.03,-90.01,-0.01,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1979.03,7852.06,-422.25,0.03,-90.05,-0.00,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1978.46,7808.11,-422.64,0.01,-90.16,0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1977.67,7762.36,-423.07,0.00,-90.21,0.04,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1976.57,7715.12,-423.51,-0.02,-91.06,0.04,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1975.48,7668.00,-423.95,-0.05,-91.41,0.03,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1974.52,7621.97,-424.38,-0.07,-91.44,-0.00,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1973.54,7574.50,-424.82,-0.09,-91.42,-0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1972.62,7530.23,-425.24,-0.11,-91.41,-0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1971.62,7483.06,-425.72,-0.12,-91.41,-0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1970.63,7436.35,-426.17,-0.10,-91.41,-0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1969.63,7390.58,-426.63,-0.09,-91.42,-0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1968.63,7347.44,-427.06,-0.07,-91.43,0.00,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1967.43,7299.91,-427.73,-0.94,-91.48,0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1965.97,7241.43,-428.20,-0.42,-91.47,0.02,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1964.86,7196.14,-428.55,-0.05,-91.44,0.00,"2025-01-27 12:24:22"
"BMW_Series7_Pawn_C_2147460246",1963.75,7150.58,-428.97,0.03,-91.42,-0.00,"2025-01-27 12:24:23"
"BMW_Series7_Pawn_C_2147460246",1962.63,7104.27,-429.40,0.07,-91.41,-0.01,"2025-01-27 12:24:23"
"BMW_Series7_Pawn_C_2147460246",1961.43,7054.88,-429.85,0.10,-91.41,-0.01,"2025-01-27 12:24:23"
