Vehicle Name,Location X,Location Y,Location Z,Rotation Pitch,Rotation Yaw,Rotation Roll,Timestamp
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.26,-399.58,-0.02,-91.41,-0.01,"2025-01-27 12:32:52"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.26,-399.57,-0.02,-91.41,-0.01,"2025-01-27 12:32:52"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.26,-399.58,-0.02,-91.41,-0.01,"2025-01-27 12:32:52"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.26,-399.58,-0.03,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.25,-399.58,-0.01,-91.41,-0.00,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.05,10354.28,-399.58,-0.04,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.25,-399.58,-0.02,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.05,10354.26,-399.58,-0.03,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.26,-399.58,-0.03,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.25,-399.58,-0.01,-91.41,-0.00,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.05,10354.28,-399.59,-0.04,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.25,-399.58,-0.02,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.05,10354.27,-399.59,-0.04,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.05,10354.27,-399.59,-0.04,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.24,-399.58,-0.01,-91.41,-0.00,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.24,-399.58,-0.02,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.04,10354.11,-399.58,-0.03,-91.41,-0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.03,10353.94,-399.58,-0.01,-91.41,-0.00,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.03,10353.47,-399.59,-0.03,-91.41,-0.02,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.02,10352.54,-399.61,-0.07,-91.41,-0.04,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1988.00,10351.07,-399.64,-0.11,-91.41,-0.06,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.97,10349.07,-399.67,-0.16,-91.42,-0.09,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.92,10346.62,-399.70,-0.20,-91.42,-0.10,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.86,10343.42,-399.73,-0.23,-91.41,-0.12,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.82,10339.91,-399.75,-0.26,-91.40,-0.14,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.82,10336.02,-399.78,-0.27,-91.37,-0.15,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.87,10331.47,-399.80,-0.28,-91.31,-0.16,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.79,10326.28,-399.80,-0.10,-91.31,-0.07,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.85,10320.66,-399.84,-0.07,-91.28,-0.07,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.77,10312.47,-399.93,-0.06,-91.28,-0.03,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.65,10305.82,-400.01,-0.09,-91.28,-0.03,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.49,10297.98,-400.10,-0.13,-91.29,-0.04,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.25,10290.49,-400.14,-0.03,-91.38,0.01,"2025-01-27 12:32:53"
"BMW_Series7_Pawn_C_2147460246",1987.07,10282.66,-400.20,-0.02,-91.40,0.01,"2025-01-27 12:32:54"
"BMW_Series7_Pawn_C_2147460246",1986.87,10274.07,-400.27,-0.02,-91.40,-0.00,"2025-01-27 12:32:54"
"BMW_Series7_Pawn_C_2147460246",1986.65,10264.62,-400.35,-0.04,-91.41,-0.02,"2025-01-27 12:32:54"
"BMW_Series7_Pawn_C_2147460246",1986.41,10255.12,-400.42,-0.04,-91.41,-0.02,"2025-01-27 12:32:54"
"BMW_Series7_Pawn_C_2147460246",1986.12,10244.78,-400.49,-0.01,-91.41,-0.01,"2025-01-27 12:32:54"
"BMW_Series7_Pawn_C_2147460246",1985.87,10234.10,-400.60,-0.03,-91.41,-0.02,"2025-01-27 12:32:54"
"BMW_Series7_Pawn_C_2147460246",1985.60,10222.80,-400.70,-0.03,-91.40,-0.02,"2025-01-27 12:32:54"
"BMW_Series7_Pawn_C_2147460246",1985.37,10207.09,-400.85,-0.06,-91.35,-0.06,"2025-01-27 12:32:54"
"BMW_Series7_Pawn_C_2147460246",1985.20,10194.85,-400.97,-0.03,-91.33,-0.04,"2025-01-27 12:32:54"
